"","V1"
"1",1
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",1
"10",6
"11",4
"12",2
"13",4
"14",2
"15",4
"16",2
"17",3
"18",1
"19",3
"20",8
"21",9
"22",20
"23",13
"24",11
"25",13
"26",11
"27",9
"28",6
"29",8
"30",3
"31",8
"32",6
"33",3
"34",3
"35",1
"36",4
"37",6
"38",0
"39",1
"40",0
"41",0
"42",2
"43",1
"44",2
"45",0
"46",0
"47",1
"48",0
"49",0
"50",0
"51",1
"52",0
"53",2
